	寒山落木　卷一
さゝかにの糸ひきのはす日永哉	寒山落木　卷一
行く春や大根の花も菜の花も	寒山落木　卷一
やす／＼と青葉になりて夏近	寒山落木　卷一
行春や柳の糸も地について	寒山落木　卷一
涅槃會や何見て歸る子供達	寒山落木　卷一
烏帽子きた殿居姿の朧なり	寒山落木　卷一
【画賛】	寒山落木　卷一
面の聲朧也春の陣	寒山落木　卷一
朧夜はお齒黒どぶの匂ひ哉	寒山落木　卷一
菎蒻ののびさうになる日永哉	寒山落木　卷一
長閑さや障子の穴に海見えて	寒山落木　卷一
猿曳も猿も見とれて傀儡師	寒山落木　卷一
人の世の工夫ではなし削り掛	寒山落木　卷一
ひよ／＼と遠矢のゆるむ日永哉	寒山落木　卷一
うたゝねを針にさゝれる日永哉	寒山落木　卷一
永き日や菜種つたひの七曲り	寒山落木　卷一
駒鳥鳴くや唐人町の春の暮	寒山落木　卷一
死はいやぞ其きさらぎの二日灸	寒山落木　卷一
つく鐘を唖の見て居る彼岸哉	寒山落木　卷一
涅槃像胡蝶の梦もなかりけり	寒山落木　卷一
名をつけて鴇母にするや崩れ雛	寒山落木　卷一
此頃やまだのどかさもあそここゝ	寒山落木　卷一
此頃の夜の朧さや白き花	寒山落木　卷一
出代やまだ初戀のきのふけふ	寒山落木　卷一
水尾谷がしころちぎれし雛かな	寒山落木　卷一
ある時はすねて落ちけり凧	寒山落木　卷一
涅槃會の一夜は闇もなかりけり	寒山落木　卷一
涅槃像寫眞なき世こそたふとけれ	寒山落木　卷一
白き山青き山皆おぼろなり	寒山落木　卷一
出代りの英語をつかふ別れ哉	寒山落木　卷一
朧夜にくづれかゝるや浪かしら	寒山落木　卷一
のどかさや松にすわりし眞帆片帆	寒山落木　卷一
氣の輕き拍子也けり茶摘歌	寒山落木　卷一
春天文	寒山落木　卷一
うぐひすの茶の木くゝるや春の雨	寒山落木　卷一
生壁に花ふきつける春の風	寒山落木　卷一
競吟春風や井戸へはひりしつはくらめ	寒山落木　卷一
春雨やよその燕のぬれてくる	寒山落木　卷一
馬子哥の鈴鹿上るや春の雨	寒山落木　卷一
青柳にふりけされけり春の雪	寒山落木　卷一
【神田大火】	寒山落木　卷一
陽炎や三千軒の家のあと	寒山落木　卷一
須磨を出て赤石は見えず春の月	寒山落木　卷一
初雷や蚊帳は未だ櫃の底	寒山落木　卷一
牛部屋に牛のうなりや朧月	寒山落木　卷一
【道後】	寒山落木　卷一
陽炎や苔にもならぬ玉の石	寒山落木　卷一
春雨に白木よごるゝ宮ゐかな	寒山落木　卷一
陽炎や草くふ馬の鼻の穴	寒山落木　卷一
春地理	寒山落木　卷一
【虚子去年の草稿を棄きすてたりと聞て】	寒山落木　卷一
春の山燒いたあとから笑ひけり	寒山落木　卷一
競吟ほく／＼とつくしのならふ燒野哉	寒山落木　卷一
〃さゝ波をおさへて春の氷哉	寒山落木　卷一
春の山やくやそこらに人もなし	寒山落木　卷一
たんほゝをちらしに青む春野哉	寒山落木　卷一
江戸人は上野をさして春の山	寒山落木　卷一
万歳の渡りしあとや水温む	寒山落木　卷一
一休に歌よませばや汐干狩	寒山落木　卷一
内海の幅狹くなる汐干哉	寒山落木　卷一
燒野から燒野へわたる小橋哉	寒山落木　卷一
海人か家の若水猶も汐はゆし	寒山落木　卷一
【沙嶋】	寒山落木　卷一
貝とりの沙嶋へつゞく汐干哉	寒山落木　卷一
氷解けぬ鯉の吹き出すさゝれ波	寒山落木　卷一
春の野に女見返る女かな	寒山落木　卷一
三つまたにわれて音なし春の水	寒山落木　卷一
春動物	寒山落木　卷一
乕といふ仇名の猫ぞ戀の邪魔	寒山落木　卷一
のら猫も女の聲はやさしとや	寒山落木　卷一
こひ猫や何の思ひを忍びあし	寒山落木　卷一
戀猫や物干竿の丸木橋	寒山落木　卷一
朧夜になりてもひさし猫の戀	寒山落木　卷一
飼猫や思ひのたけを鳴あかし	寒山落木　卷一
猫のこひ巨燵をふんで忍ひけり	寒山落木　卷一
戀猫にふまれてすて子泣にけり	寒山落木　卷一
白魚かそも／＼氷のかげなるか	寒山落木　卷一
蝶／＼や順禮の子のおくれがち	寒山落木　卷一
白魚やそめ物洗ふすみた川	寒山落木　卷一
競吟鶯や籔の隅には去年の雪	寒山落木　卷一
せり吟雲雀野や花嫁鞍にしがみつく	寒山落木　卷一
鶯や雜木つゞきの小篠原	寒山落木　卷一
蝶／＼やをさな子つまむ馬の沓	寒山落木　卷一
ぎやう／＼し田螺おさへてなく蛙	寒山落木　卷一
鶯や籔わけ入れは乞食小屋	寒山落木　卷一
鶯やみあかしのこる杉の杜	寒山落木　卷一
鶯の影とびこむや皮文庫	寒山落木　卷一
壁ぬりの小手先すかすつばめ哉	寒山落木　卷一
鹿の角ふりむく時に落にけり	寒山落木　卷一
はきだめやひた／＼水に鳴蛙	寒山落木　卷一
樋の口にせかれて鳴や夕蛙	寒山落木　卷一
雪院の月に蛙を聞く夜哉	寒山落木　卷一
（秋季）雀ともばけぬ御代なり大蛤	寒山落木　卷一
迷ひ行く胡蝶哀れや小松原	寒山落木　卷一
なごりイ	寒山落木　卷一
飯蛸の手をひろげたる檐端哉	寒山落木　卷一
り檐の花イ	寒山落木　卷一
鹿の角落てさびしき月夜哉	寒山落木　卷一
五ツ六ツかたまつてとぶ胡蝶哉	寒山落木　卷一
小川からぬれて蛙の上りけり	寒山落木　卷一
風に來て石臼たのむ胡蝶哉	寒山落木　卷一
竹藪や鶯の鳴く窓二つ	寒山落木　卷一
竹椽を踏みわる猫の思ひ哉	寒山落木　卷一
歸る雁風船玉の行方哉	寒山落木　卷一
うか／＼と來て鶯を迯しけり	寒山落木　卷一
とろ／＼と左官眠るや燕	寒山落木　卷一
すう／＼と鳥雲に入てしまひけり	寒山落木　卷一
この頃の月に肥えたる白魚哉	寒山落木　卷一
ある時は月にころがる田螺哉	寒山落木　卷一
長町のかどや燕の十文字	寒山落木　卷一
【石手川出合渡】	寒山落木　卷一
若鮎の二手になりて上りけり	寒山落木　卷一
【松山堀端】	寒山落木　卷一
門しめに出て聞て居る蛙かな	寒山落木　卷一
【八幡】	寒山落木　卷一
鷹鳩になる此頃の朧かな	寒山落木　卷一
大佛を取て返すや燕	寒山落木　卷一
燕や二つにわれし尾のひねり	寒山落木　卷一
【乞食】	寒山落木　卷一
蝶ふせた五器は缺けたり面白や	寒山落木　卷一
燕の何聞くふりぞ電信機	寒山落木　卷一
牛若をたとへて見れば小鮎哉	寒山落木　卷一
盜人の晝寐の上や揚雲雀	寒山落木　卷一
濁り江の闇路をたどる白魚哉	寒山落木　卷一
鐵門に爪の思ひや廓の猫	寒山落木　卷一
子に鳴いて見せるか雉の高調子	寒山落木　卷一
行き／＼てひらりと返す燕哉	寒山落木　卷一
さかさまに何の梦見る草の蝶	寒山落木　卷一
五器の飯ほとびる猫の思ひかや	寒山落木　卷一
鶯の筧のみほす雪解哉	寒山落木　卷一
白魚は雫ばかりの重さ哉	寒山落木　卷一
〔春植物〕	寒山落木　卷一
ちりはてゝ花も地をはふ日永哉	寒山落木　卷一
飯章魚の花に死んだるほまれ哉	寒山落木　卷一
恐ろしき女も出たる花見哉	寒山落木　卷一
娘おす膝行車の花見かな	寒山落木　卷一
ふつ／＼と彼岸櫻の莟哉	寒山落木　卷一
花守の烏帽子かけたる櫻哉	寒山落木　卷一
猿引は猿に折らする櫻哉	寒山落木　卷一
町はつれ櫻／＼と子供哉	寒山落木　卷一
谷底に樵夫の動く櫻かな	寒山落木　卷一
もや／＼とかたまる岨の櫻かな	寒山落木　卷一
殿方に手をひかれたる花見哉	寒山落木　卷一
白馬の一騎かけたり朝櫻	寒山落木　卷一
夜櫻や蒔繪に似たる三日の月	寒山落木　卷一
ちることは禿もしらず夕櫻	寒山落木　卷一
別莊の注進來たりはつ櫻	寒山落木　卷一
大かたの枯木の中や初櫻	寒山落木　卷一
夕くれを背戸へ見に行櫻哉	寒山落木　卷一
花さかり月に雨もつよもすから	寒山落木　卷一
夜櫻の中に火ともす小家哉	寒山落木　卷一
夜櫻や露ちりかゝる辻行燈	寒山落木　卷一
小娘のからかささすやちる櫻	寒山落木　卷一
鳥の木玉すさまし花の奧	寒山落木　卷一
白桃の櫻にまじる青さ哉	寒山落木　卷一
土器に花のひツつく神酒哉	寒山落木　卷一
籠一ツ花を押きる夜明哉	寒山落木　卷一
わびしらに櫻ちるなり緋の袴	寒山落木　卷一
競吟さゝ波のなりにちゝまる和布哉	寒山落木　卷一
せり吟藤の芽は花さきさうになかりけり	寒山落木　卷一
ほうけたるつくし陽炎になりもせん	寒山落木　卷一
せり吟鍋墨を靜かになてる柳かな	寒山落木　卷一
〃万歳の鼓にひらく梅の花	寒山落木　卷一
吹の中に米つくよめ御かな	寒山落木　卷一
顏出す臼のおと	寒山落木　卷一
蓮花鐵燈籠の黒さかな	寒山落木　卷一
櫻さく手際よりちる手際	寒山落木　卷一
花を見ぬ人の心そ恐ろしき	寒山落木　卷一
傾城の息酒くさし夕櫻	寒山落木　卷一
吹や折／＼はねる水の月	寒山落木　卷一
上ケ土のあひにわりなし蓮花草	寒山落木　卷一
苗代や籾をかぶつてなく蛙	寒山落木　卷一
苗代や月をおさえてなく蛙	寒山落木　卷一
妹が門つゝじをむしる別れ哉	寒山落木　卷一
吹の垣にとなりはなかりけり	寒山落木　卷一
さゝやかな金魚の波や山つゝし	寒山落木　卷一
かけはしやあぶないとこに山つゝし	寒山落木　卷一
の目にはさまりしにては如何	寒山落木　卷一
石橋に芽のすりきれる柳かな	寒山落木　卷一
烏帽子着た人も見ゆるや嵯峨の花	寒山落木　卷一
乞食の嫁入にぎわし花の山	寒山落木　卷一
大木に喰ひついてさく梅の花	寒山落木　卷一
くひついて古木に咲や梅の花	寒山落木　卷一
片枝は磨鉢黒し梅の花	寒山落木　卷一
櫻ちる此時木魚猶はげし	寒山落木　卷一
紅梅や雪洞遠き長廊下	寒山落木　卷一
灰吹にした跡もあり落椿	寒山落木　卷一
一鞭に其數知れず落椿	寒山落木　卷一
いもうとの袂探れば椿哉	寒山落木　卷一
【十六日櫻】	寒山落木　卷一
孝行は筍よりも櫻かな	寒山落木　卷一
【西山山内神社】	寒山落木　卷一
西山の花に抱きつく涙哉	寒山落木　卷一
【伊豫太山寺】	寒山落木　卷一
菎蒻につゝじの名あれ太山寺	寒山落木　卷一
荒れにけり茅針まじりの市の坪	寒山落木　卷一
【椿神社】	寒山落木　卷一
賽錢のひゞきに落る椿かな	寒山落木　卷一
【松山】	寒山落木　卷一
古町より外側に古し梅の花	寒山落木　卷一
日うけよき水よき処初櫻	寒山落木　卷一
【松山】	寒山落木　卷一
白魚の又めぐりあふ若和布哉	寒山落木　卷一
梅ちらり／＼と松の木の間哉	寒山落木　卷一
櫻より奧に桃さく上野哉	寒山落木　卷一
三日月のほのかに白し茅花の穗	寒山落木　卷一
此頃は井出の山吹面白し	寒山落木　卷一
瓦斯燈にかたよつて吹く柳哉	寒山落木　卷一
【山内神社】	寒山落木　卷一
西山に櫻一木のあるじ哉	寒山落木　卷一
紅梅や式部納言の話聲	寒山落木　卷一
花にさへぬす人の名のもの／＼し	寒山落木　卷一
紅梅の一輪殘る兜かな	寒山落木　卷一
洋本の間にはさむ櫻かな	寒山落木　卷一
御白粉に白うよごれし菫かな	寒山落木　卷一
梅の花白きをもつてはじめとす	寒山落木　卷一
石炭の車ならぶや散る櫻	寒山落木　卷一
花の雲博覽會にかゝりけり	寒山落木　卷一
【上野】	寒山落木　卷一
黒門に丸の跡あり山さくら	寒山落木　卷一
【よし野】	寒山落木　卷一
醉ふて寐て夢に泣きけり山櫻	寒山落木　卷一
四斗樽を床几に花の木陰哉	寒山落木　卷一
井戸端の櫻ちりけり鍋の底	寒山落木　卷一
紅梅の可愛や雪の朝朗	寒山落木　卷一
花に來て花にこがるゝ夕哉	寒山落木　卷一
何程の事かあるべき花の雨	寒山落木　卷一
朝櫻駒のひづめのひや／＼と	寒山落木　卷一
花ちるや人なき夜の葭簀茶屋	寒山落木　卷一
わびたりや小鍋にまじる雪若菜	寒山落木　卷一
はいつてはくゞつては出ては花の雲	寒山落木　卷一
家一つ花より上に見ゆるかな	寒山落木　卷一
しんとして露をこぼすや朝櫻	寒山落木　卷一
さん候いかさま花の都かな	寒山落木　卷一
花盛知らぬ男のいだきつく	寒山落木　卷一
茶屋もなく酒屋も見えず花一木	寒山落木　卷一
青海苔や水にさしこむ日の光	寒山落木　卷一
【四月十四日朝梦想】	寒山落木　卷一
骸骨となつて木陰の花見哉	寒山落木　卷一
梅若の夢をしづむる柳哉	寒山落木　卷一
梅正に綻びそむる紀元節	寒山落木　卷一
李の花に宮司の娵の端居哉	寒山落木　卷一
浪花津は海もうけたり梅の花	寒山落木　卷一
馬繋ぐ薄紅梅の戸口かな	寒山落木　卷一
紅梅に琴の音きほふ根岸哉	寒山落木　卷一
廿五年夏時候人事	寒山落木　卷一
どんよりと青葉にひかる卯月哉	寒山落木　卷一
金春や三味の袋も衣かへ	寒山落木　卷一
女房のとかくおくれる田植哉	寒山落木　卷一
【灌佛】	寒山落木　卷一
坤をこねて見たれは佛かな	寒山落木　卷一
ちりこんだ杉の落葉や心ふと	寒山落木　卷一
ふんどしのいろさま／＼や夕すゝみ	寒山落木　卷一
松原へ雪投げつけんふし詣	寒山落木　卷一
大川へ田舟押し出すすゝみ哉	寒山落木　卷一
一つつゝ流れ行きけり涼み舟	寒山落木　卷一
のりあげた舟に汐まつ涼み哉	寒山落木　卷一
氷室守花の都へといそき候	寒山落木　卷一
初産の髮みだしたる暑さ哉	寒山落木　卷一
松の木に吹つけらるゝ火串哉	寒山落木　卷一
ともし見て恐ろしき夜の嵐哉	寒山落木　卷一
夏やせの歌かきつける團扇哉	寒山落木　卷一
身動きに蠅のむらたつひるね哉	寒山落木　卷一
傘張は傘の陰なる晝寐かな	寒山落木　卷一
涼み場をこじきのしめる晝ね哉	寒山落木　卷一
花嫁の笠きて簔きて田植哉	寒山落木　卷一
涼しさや又川蝉の杭うつり	寒山落木　卷一
夏やせを肌みせぬ妹の思ひかな	寒山落木　卷一
留守の家にひとり燃たる蚊遣哉	寒山落木　卷一
夕風に疊はひ行く蚊やり哉	寒山落木　卷一
涼しさや眞桑投こむ水の音	寒山落木　卷一
【送別】	寒山落木　卷一
涼しさを手と手に放つ別れ哉	寒山落木　卷一
すゝしさやつられた龜のそら泳き	寒山落木　卷一
きぬ／＼の朝ひやつくや竹婦人	寒山落木　卷一
竹奴梦に七賢と遊ひけり	寒山落木　卷一
【布袋螢狩の圖】	寒山落木　卷一
螢狩袋の中の闇夜かな	寒山落木　卷一
【訪得知翁】	寒山落木　卷一
涼しさや兩手になでる雪の鬚	寒山落木　卷一
【歸省】	寒山落木　卷一
母親に夏やせかくす團扇かな	寒山落木　卷一
ぬけ裏をぬけて川べのすゞみかな	寒山落木　卷一
烏帽子着て加茂の宮守涼みけり	寒山落木　卷一
早乙女やとる手かゝる手ひまもなき	寒山落木　卷一
さをとめのあやめを拔て戻りけり	寒山落木　卷一
早をと女に夏痩のなきたうとさよ	寒山落木　卷一
涼しさや闇のかたなる瀧の音	寒山落木　卷一
【京東山】	寒山落木　卷一
どこ見ても涼し神の灯佛の灯	寒山落木　卷一
すゝしさや笘舟笘を取はつし	寒山落木　卷一
一村は木の間にこもる卯月哉	寒山落木　卷一
虫干の塵や百年二百年	寒山落木　卷一
神に燈をあげて戻りの涼み哉	寒山落木　卷一
涼しさや客もあるじも眞裸	寒山落木　卷一
涼しさや音に立ちよる水車	寒山落木　卷一
涼しさや友よぶ蜑の磯づたひ	寒山落木　卷一
姫杉の眞赤に枯れしあつさ哉	寒山落木　卷一
松の木をぐるり／＼と涼み哉	寒山落木　卷一
いさかひのくづれて門の涼み哉	寒山落木　卷一
梅干の雫もよわるあつさ哉	寒山落木　卷一
梅干や夕がほひらく屋根の上	寒山落木　卷一
雨乞や天にひゞけと打つ大鼓	寒山落木　卷一
雨乞や次第に近き雲の脚	寒山落木　卷一
打水やまだ夕立の足らぬ町	寒山落木　卷一
【鎌倉展覽會】	寒山落木　卷一
土用干うその鎧もならびけり	寒山落木　卷一
立よりて杉の皮はぐ涼み哉	寒山落木　卷一
【鎌倉大佛】	寒山落木　卷一
大佛にはらわたのなき涼しさよ	寒山落木　卷一
【稻村崎】	寒山落木　卷一
涼しさに海へなげこむ扇かな	寒山落木　卷一
【鎌倉宮土牢】	寒山落木　卷一
夏やせの御姿見ゆるくらさ哉	寒山落木　卷一
鎌倉は何とうたふか田植哥	寒山落木　卷一
涼しさに瓜ぬす人と話しけり	寒山落木　卷一
薄くらき奧に米つくあつさ哉	寒山落木　卷一
虫干や花見月見の衣の數	寒山落木　卷一
出陣に似たる日もあり土用干	寒山落木　卷一
松陰に蚤とる僧のすゞみ哉	寒山落木　卷一
早乙女の名を落しけり田草取	寒山落木　卷一
我先に穗に出て田草ぬかれけり	寒山落木　卷一
折々は田螺にぎりつ田草取	寒山落木　卷一
【邪淫戒】	寒山落木　卷一
早乙女の戀するひまもなかりけり	寒山落木　卷一
【飮酒戒】	寒山落木　卷一
灌佛や酒のみさうなはなし	寒山落木　卷一
短夜は柳に足らぬつゝみ哉	寒山落木　卷一
一夜さは物も思ふて秋近し	寒山落木　卷一
朝顏の朝／＼咲て秋近し	寒山落木　卷一
日ざかりに泡のわきたつ小溝哉	寒山落木　卷一
朝のつるさき秋に屆きけり	寒山落木　卷一
夏痩をすなはち戀のはじめ哉	寒山落木　卷一
夏痩をなでつさすりつ一人哉	寒山落木　卷一
面白う紙帳をめぐる蚊遣哉	寒山落木　卷一
人形の鉾にゆらめくいさみ哉	寒山落木　卷一
籠枕頭の下に夜は明けぬ	寒山落木　卷一
蚊の口もまじりて赤き汗疣哉	寒山落木　卷一
川狩にふみこまれたる眞菰哉	寒山落木　卷一
御祓してはじめて夏のをしき哉	寒山落木　卷一
若殿の庖刀取て沖鱠	寒山落木　卷一
はね鯛を取て押えて沖鱠	寒山落木　卷一
【久松伯の歸京を送りまゐらせて】	寒山落木　卷一
波風や涼しき程に吹き申せ	寒山落木　卷一
【身内の老幼男女打ちつどひて】	寒山落木　卷一
鯛鮓や一門三十五六人	寒山落木　卷一
玉章を門でうけとる涼み哉	寒山落木　卷一
とも綱に蜑の子ならぶ游泳哉	寒山落木　卷一
ぬれ髮を木陰にさばくおよぎ哉	寒山落木　卷一
藍刈や一里四方に木も見えす	寒山落木　卷一
藍刈るや誰が行末の紺しぼり	寒山落木　卷一
玉卷の芭蕉ゆるみし暑さ哉	寒山落木　卷一
【古白の女人形に題す】	寒山落木　卷一
汗かゝぬ女の肌の涼しさよ	寒山落木　卷一
溝川に小鮒ふまへし涼み哉	寒山落木　卷一
涼しさや花火ちりこむ水の音	寒山落木　卷一
夏やせの腮にいたし笠の紐	寒山落木　卷一
牛の尾の力も弱るあつさ哉	寒山落木　卷一
涼しさや風にさばける繩簾	寒山落木　卷一
おそろしや闇に亂るゝ鵜の篝	寒山落木　卷一
烟草のむひま旅人も來て早苗とれ	寒山落木　卷一
吸殼の水に音ある涼み哉	寒山落木　卷一
若竹や色もちあふて青簾	寒山落木　卷一
紫陽花に吸ひこむ松の雫哉	寒山落木　卷一
紫陽花にかぶせかゝるや今年竹	寒山落木　卷一
はら／＼と風にはちくや鵜の篝	寒山落木　卷一
短夜や砂土手いそぐ小提灯	寒山落木　卷一
三津口を又一人行く袷哉	寒山落木　卷一
囚人の鎖ひきずるあつさ哉	寒山落木　卷一
【小栗神社】	寒山落木　卷一
朝夕に神きこしめす田歌かな	寒山落木　卷一
【永田村】	寒山落木　卷一
秋近き窓のながめや小富士松	寒山落木　卷一
涼しさや馬も海向く淡井阪	寒山落木　卷一
萱町や裏へまはれば青簾	寒山落木　卷一
蚊遣たく烟の中や垣生今津	寒山落木　卷一
打ちわくる水や一番二番町	寒山落木　卷一
【松山】	寒山落木　卷一
が織り妹が縫ふて更衣	寒山落木　卷一
垣ごしや隣へくばる小鰺鮓	寒山落木　卷一
聾の拍子はづれや田植歌	寒山落木　卷一
飛び下りた梦も見る也不二詣	寒山落木　卷一
早少女の昔をかたれ小傾城	寒山落木　卷一
帷子や蝙蝠傘のかいき裏	寒山落木　卷一
陣笠を着た人もある田植哉	寒山落木　卷一
涼しさや母呂にかくるゝ後影	寒山落木　卷一
ふんどしも白うなりけり衣がへ	寒山落木　卷一
白無垢の一竿すゞし土用干	寒山落木　卷一
油繪の遠目にくもる五月かな	寒山落木　卷一
灌佛やうぶ湯の桶に波もなし	寒山落木　卷一
甲斐の雲駿河の雲や不二詣	寒山落木　卷一
涼めとて床几もて來る涼み哉	寒山落木　卷一
袂には鼻紙もなし更衣	寒山落木　卷一
御祓して歸るたもとに螢かな	寒山落木　卷一
月の出る裏へ／＼と鵜舟哉	寒山落木　卷一
さをとめの泥をおとせば足輕し	寒山落木　卷一
空に入る身は輕げなりふし詣	寒山落木　卷一
【傾城の文書くかたに】	寒山落木　卷一
夏痩を見せまゐらせ度候かしく	寒山落木　卷一
夏天文地理	寒山落木　卷一
大粒になつてはれけり五月雨	寒山落木　卷一
一ツ家の背に	寒山落木　卷一
一枝は田にはしりこむ清水哉	寒山落木　卷一
夕立や足たてかぬるめくら馬	寒山落木　卷一
梯や水にもおちず五月雨改（梯や水より上を五月雨）	寒山落木　卷一
五月雨や隅田を落す筏舟	寒山落木　卷一
一村は卯つ木も見えす青嵐	寒山落木　卷一
ふしつくは都ふきこす青嵐	寒山落木　卷一
はたごやに蠅うつ客や五月雨渭橋の句にたれこめて蠅うつのみそ五月雨	寒山落木　卷一
眞黒に茄子ひかるや夏の月	寒山落木　卷一
夕立の露ころげあふ蓮哉	寒山落木　卷一
蚤蠅の里かけぬけて夏の山	寒山落木　卷一
おしあふてくる萍や五月晴	寒山落木　卷一
夕立の押へ付けたり茶の煙	寒山落木　卷一
ゆふだちにはりあふ宮の太鼓哉	寒山落木　卷一
曾川に信濃の入梅の濁り哉	寒山落木　卷一
夏の月四條五條の夜半過	寒山落木　卷一
鱗ちる雜魚場のあとや夏の月	寒山落木　卷一
荷を揚る拍子ふけたり夏の月	寒山落木　卷一
【高濱延齡舘ニテ】	寒山落木　卷一
雪の間に小富士の風の薫りけり	寒山落木　卷一
はらわたにひやつく木曾の清水哉	寒山落木　卷一
菅笠の紐ぬらしたる清水哉	寒山落木　卷一
夕立に簔のいきたる筏かな	寒山落木　卷一
まくるイ	寒山落木　卷一
夕立の見る／＼過る白帆哉	寒山落木　卷一
君か代や親が所望の夏氷	寒山落木　卷一
夕立のはづれに青し安房上總文字結青	寒山落木　卷一
旅人の名をつけて行く清水かな	寒山落木　卷一
【呈破蕉先生】	寒山落木　卷一
夏草や君わけ行けば風薫る	寒山落木　卷一
夏の月紙帳の皺も浪と見よ	寒山落木　卷一
入梅晴の朝より高し雲の峰	寒山落木　卷一
横道を行けば果して清水哉	寒山落木　卷一
五月雨は藜の色を時雨けり	寒山落木　卷一
わびしさや藜にかゝる夏の月	寒山落木　卷一
むさしのや川上遠き雲の峯	寒山落木　卷一
夕立や算木崩れし卜屋算	寒山落木　卷一
へ來て繪嶋近し青嵐	寒山落木　卷一
白芥のうしろの原や青嵐	寒山落木　卷一
そよ／＼と山伏ふくや青嵐	寒山落木　卷一
梅雨晴の風に戻りし柳哉	寒山落木　卷一
夕立や板屋に崩す一あらし	寒山落木　卷一
一筋に烟草けぶるや青嵐	寒山落木　卷一
なか／＼に裸急がず夏の雨	寒山落木　卷一
負ふた子の一人ぬれけり夏の雨	寒山落木　卷一
夕立や蛇の目の傘は思ひもの	寒山落木　卷一
五月雨や流しに青む苔の花	寒山落木　卷一
夕立や干したる衣の裏表	寒山落木　卷一
植ゑつけて月にわたせし青田哉	寒山落木　卷一
【松山】	寒山落木　卷一
城山の浮み上るや青嵐	寒山落木　卷一
踏みならす橘橋や風かをる	寒山落木　卷一
夕立や橋の下なる笑ひ聲	寒山落木　卷一
梅雨晴にさはるものなし一本木	寒山落木　卷一
五月雨や漁婦ぬれて行くかゝえ帶	寒山落木　卷一
掬ぶ手の甲に冷えつく清水哉	寒山落木　卷一
五月雨は杉にかたよる上野哉	寒山落木　卷一
金時も熊も來てのむ清水哉	寒山落木　卷一
五月雨に一筋白き幟かな	寒山落木　卷一
長靴のたけに餘るや梅雨の泥	寒山落木　卷一
鼓鳴る芝山内や五月晴	寒山落木　卷一
夕立をもみくづしけり卜屋算	寒山落木　卷一
五月雨にいよ／＼青し木曾の川	寒山落木　卷一
五月雨の雲やちぎれてほとゝきす	寒山落木　卷一
谷底に見あげて涼し雲の峰	寒山落木　卷一
暮れかけて又日のさすや五月雨	寒山落木　卷一
野の道に撫子咲きぬ雲の峰	寒山落木　卷一
夕立に鷺の動かぬ青田かな	寒山落木　卷一
雲の峰に扇をかざす野中哉	寒山落木　卷一
むさし野に立ち並びけり雲の峰	寒山落木　卷一
夕立に古井の苔の匂ひかな	寒山落木　卷一
梅雨晴や朝日にけぶる杉の杜	寒山落木　卷一
【根岸】	寒山落木　卷一
五月雨やけふも上野を見てくらす	寒山落木　卷一
【六月十九日】	寒山落木　卷一
五月雨に御幸を拜む晴間哉	寒山落木　卷一
【送別】	寒山落木　卷一
招く手の裏を汐風かをりけり	寒山落木　卷一
夏動物	寒山落木　卷一
時鳥上野をもとる車の音	寒山落木　卷一
夕くれにのそ／＼出たり蟇	寒山落木　卷一
ころがつて腹を見せたる鹿子哉	寒山落木　卷一
手の内に螢つめたき光かな	寒山落木　卷一
時鳥千本卒塔婆宵月夜	寒山落木　卷一
聞に出てぬれてもとるや閑古鳥	寒山落木　卷一
ちゞまれば廣き天地ぞ蝸牛	寒山落木　卷一
【待戀】	寒山落木　卷一
蚤と蚊に一夜やせたる思ひ哉	寒山落木　卷一
藺の花の中をぬひ／＼螢哉	寒山落木　卷一
あとはかりあつて消けりなめくしり	寒山落木　卷一
世の中をまひ／＼丸うまはりけり	寒山落木　卷一
菅笠の生國名のれほとゝきす	寒山落木　卷一
露となり螢となりて消にけり	寒山落木　卷一
浮世への筧一すぢ閑子鳥	寒山落木　卷一
どの村へかよふ筧そ閑子鳥	寒山落木　卷一
すめはすむ人もありけり閑子鳥	寒山落木　卷一
並松やそれからそれへ閑子鳥	寒山落木　卷一
垣こえて雨戸をたゝくくゐな哉	寒山落木　卷一
【根岸】	寒山落木　卷一
水鷄叩き鼠答へて夜は明ぬ	寒山落木　卷一
谷間や屋根飛こゆるほとゝきす	寒山落木　卷一
鵜の首の蛇とも見えて恐ろしき	寒山落木　卷一
ある時は叩きそこなふ水鷄哉	寒山落木　卷一
一つ家を毎晩たゝく水哉	寒山落木　卷一
【待戀】	寒山落木　卷一
我を蚊にくはせたる思ひかな	寒山落木　卷一
蚊の聲の中に子の泣く伏屋哉	寒山落木　卷一
親の血を吸てとぶ蚊のにくさ哉	寒山落木　卷一
蚊の聲を分て出たり蟇	寒山落木　卷一
初蝉の聲ひきたらぬ夕日哉	寒山落木　卷一
雨の夜や浮巣めくりて鳰の啼	寒山落木　卷一
【破蕉先生の咄を夫人よりきゝて】	寒山落木　卷一
筆もつて寐たるあるじや時鳥	寒山落木　卷一
ある時は空を行きけり水すまし	寒山落木　卷一
提灯をふつて蚤とるかごや哉	寒山落木　卷一
【待戀】	寒山落木　卷一
灯ともして又夏虫をまつ夜哉	寒山落木　卷一
【歸郷】	寒山落木　卷一
故郷へ入る夜は月よほとゝきす	寒山落木　卷一
墓拜む間を籔蚊の命哉	寒山落木　卷一
【述懷】	寒山落木　卷一
水無月の虚空に涼し時鳥	寒山落木　卷一
【殺生戒】	寒山落木　卷一
蠅憎し打つ氣になればよりつかず	寒山落木　卷一
叩けとて水鷄にとさすいほり哉	寒山落木　卷一
枝川や立ち別れ鳴く行子	寒山落木　卷一
